Rule ID,Macro Class,Micro Class,Rule Text,Severity,Weight,Section
ZH-CN-063-109D96F8,Style,Terminology,Understand the cultural context of both source and target audiences to avoid misunderstandings or potential offense.,Major,1,4 > 19
ZH-CN-064-18C1B5FD,Style,Style,Consider the surrounding text when translating emojis to ensure they fit appropriately.,Major,1,4 > 19
ZH-CN-065-FA82B070,Style,Style,Strive to preserve the emotional intent of the original emoji when translating.,Major,1,4 > 19
ZH-CN-066-3A987915,Accuracy,Style,Use the most appropriate expressions in the target language to convey the intended meaning effectively.,Major,5,4 > 19
ZH-CN-067-82313B35,Mechanics,Style,Dates must be rewritten according to Chinese style using YYYY 年 MM 月 DD 日 or YYYY 年 M 月 D 日.,Major,3,5 > 1
ZH-CN-068-7822CC30,Mechanics,Style,Time format must use 'XXhXX' (24-hour clock) with single-byte colon (:) as separator.,Major,3,5 > 1
ZH-CN-069-F222FF92,Terminology,Terminology,AM/PM must be translated to 上午 and 下午 respectively.,Major,4,5 > 1
ZH-CN-070-86BC82B4,Style,Style,Always check project specific instructions for currency handling.,Minor,1,5 > 3
ZH-CN-071-9BFD2995,Style,Terminology,"Currency symbols, values (roughly convert if not 1 to 1 with USD$), and currency codes must be localized.",Major,1,5 > 3
ZH-CN-072-ADE88822,Terminology,Style,Always assess the context at hand against the definition when using approved terminology.,Major,4,6
ZH-CN-073-04708CAA,Terminology,Style,Never follow the termbase blindly if a term is used in a different context.,Major,4,6
ZH-CN-074-DECF076A,Terminology,Style,Use industry-standard terminology.,Major,4,6
ZH-CN-075-EF9DD6BF,Style,Style,Follow spelling and capitalization of Shopify brand names as well as third-party brand names.,Major,1,6
ZH-CN-076-0D7E18F1,Terminology,Style,"Shopify prefers descriptive names for its products. Verify there is no confusion with the corresponding common noun, especially when the term is capitalized.",Major,4,6
ZH-CN-077-71AD1D69,Terminology,Style,"Product names are usually not translated, while feature names are.",Major,4,6
ZH-CN-078-218FE54B,Terminology,Style,Refer to the Terminology guidelines for the localization of proper nouns.,Major,4,6
ZH-CN-079-142BA887,Terminology,Style,Translators & reviewers must proactively raise terminology-related queries in the JIRA Language Forum.,Major,4,6
ZH-CN-080-11E6E09A,Terminology,Style,Language Specialists must use QuickTerm and the Query Sheet to raise terminology queries from translators and themselves with the client.,Major,4,6
ZH-CN-081-5E77F653,Terminology,Style,Enter a new term request in the Query Sheet and directly in QuickTerm whenever a new term or deviation from standard language is used in the source text.,Major,4,6
ZH-CN-082-4F396BCC,Terminology,Style,"When a new or challenging term is solved in a language, share the outcome with all other languages.",Major,4,6
ZH-CN-083-DF29B0F5,Terminology,Style,"Double-check terms marked as Legacy, in particular: product, plan, and program names.",Major,4,6
ZH-CN-084-7A58B015,Terminology,Terminology,Shopify product names are Do Not Translate (DNT) terms.,Major,4,6 > 1
ZH-CN-085-BDF5C313,Terminology,Terminology,Do not translate the name portion of an API.,Major,4,6 > 1
ZH-CN-086-FBF50FA9,Style,Style,"Move around API, the part of the name indicating the category so as to conform to each target language’s grammatical rules.",Major,1,6 > 1
ZH-CN-087-D831029F,Terminology,Style,Refer to the Terminology guidelines for the localization of proper nouns.,Minor,4,6 > 1
ZH-CN-088-C2921722,Style,Style,Shopify can be occasionally omitted from the product name.,Minor,1,6 > 1
ZH-CN-089-5D93A736,Style,Style,Always check Shopify’s latest TB.,Minor,1,6 > 1
ZH-CN-090-F287C036,Terminology,Terminology,Do not translate third-party product names unless they are specified by Shopify.,Major,4,6 > 2
ZH-CN-091-059E635C,Terminology,Terminology,"Trademarked names and registered trademarks should not be localized unless local laws require translation, and an approved translated form of the trademark is available.",Major,4,6 > 3
ZH-CN-092-09D4D1E1,Style,Style,"For third-party trademarks, verify how the names are treated on the third party’s website.",Major,1,6 > 3
ZH-CN-093-4958EE03,Punctuation,Style,Ask the question to the query sheet in case of doubt.,Major,2,6 > 3
ZH-CN-094-3C9B9826,Terminology,Terminology,Text in curly brackets should not be translated unless otherwise instructed.,Major,4,7 > 1 > 1
ZH-CN-095-3A754EBE,Terminology,Process,Check any project specific information regarding translation of curly bracketed text.,Minor,4,7 > 1 > 1
ZH-CN-096-2CD748DD,Mechanics,Style,It is OK to move the placeholder around in curly bracketed text.,Minor,3,7 > 1 > 1
ZH-CN-097-1CBBDD16,Terminology,Terminology,Text in angle brackets should not be translated unless otherwise instructed.,Major,4,7 > 1 > 2
ZH-CN-098-8170ADC1,Terminology,Terminology,Text in square brackets should not be translated unless project-specific information or context indicates otherwise.,Minor,4,7 > 1 > 3
ZH-CN-099-DA4EA744,Style,Punctuation,Do not add spaces between the ending square bracket of the anchor text and the round bracket of the URL.,Major,1,7 > 1 > 4
ZH-CN-100-8B246B60,Style,Style,"UI texts should be clear, concise, and consistent.",Minor,1,7 > 2
ZH-CN-101-187CE4A9,Terminology,Style,"When encountering a UI item, check if it has been already translated to maintain consistency.",Minor,4,7 > 2
ZH-CN-102-140EEED5,Terminology,Terminology,"If a UI had been already localized, then it should be available in the TM and that translation can be used.",Major,4,7 > 2 > 1
ZH-CN-103-B53660FE,Style,Terminology,"If you do not find the UI item in the Admin TM, then it hasn't been localized yet (it might belong to an app or software that has not been localized).",Major,1,7 > 2 > 1
ZH-CN-104-14A48867,Terminology,Style,"In Help projects, use the bilingual format <possible tag>English<\possible tag> (Translation) to refer to the correct English UI.",Minor,4,7 > 2 > 1
ZH-CN-105-651F8EB3,Style,Style,"When translating UI options, distinguish buttons from CTA links.",Major,1,7 > 2 > 1
ZH-CN-106-0AAFB30C,Style,Style,Buttons: Omit articles and unnecessary pronouns to reduce characters in the button text.,Major,1,7 > 2 > 1
ZH-CN-107-D049B0EF,Style,Style,CTA links: Use articles in order to improve the readability and naturalness of the sentence. Omit articles only when reducing the length of the string.,Minor,1,7 > 2 > 1
ZH-CN-108-F1ADB6FD,Style,Punctuation,"As a general rule, don’t use quotation marks to refer to a UI option.",Major,1,7 > 2 > 1
ZH-CN-109-99B75A88,Terminology,Style,Capitalization is not relevant for Simplified Chinese. Pay attention to the correct capitalization of terms left in English.,Minor,4,7 > 2 > 1
ZH-CN-110-9C72CE3A,Punctuation,Style,"Buttons and UI options are written in the infinitive form (command actions, button names and links).",Major,2,7 > 2 > 1
ZH-CN-111-19443FAE,Terminology,Punctuation,Do not insert additional line breaks into translation (in Smartling displayed as �).,Major,4,7 > 5
ZH-CN-112-8CC1007B,Style,Style,"If there is a line break in the suggestion from the TM and there are no line breaks in the source, delete that additional line break.",Major,1,7 > 5
